"Winnable Battle Risk Factors and Health Indicators - Summary Report By State"

"GENERATED DATE: 8/19/2020"
"DATA SOURCE: http://wwwn.cdc.gov/SortableStats/Report_Docs/PDFDocs/Sourtable_Stats_Data_Sources.pdf"

Region/State,Infant Mortality Rate (2014),Heart Disease Death Rate (2015),Stroke Death Rate (2015),Suicide Death Rate (2015),Homicide Death Rate (2015),Drug Poisoning Death Rate (2015),Motor Vehicle Death Rate (2015),Cancer Death Rate (2015)
National,5.80,168.50,37.60,13.30,5.70,16.30,10.90,158.50
National,5.80,168.50,37.60,13.30,5.70,16.30,10.90,158.50
Alabama,8.70,229.70,52.20,14.90,10.20,15.70,17.50,175.60
Alaska,6.70,154.10,36.80,26.90,8.00,16.00,8.80,159.80
Arizona,6.10,138.80,30.70,18.20,5.50,19.00,13.10,141.30
Arkansas,7.50,223.20,46.80,19.10,7.40,13.80,17.80,185.40
California,4.30,145.60,36.20,10.30,5.00,11.30,8.10,142.80
Colorado,4.80,128.40,34.90,19.50,3.70,15.40,10.00,134.40
Connecticut,4.80,147.80,28.50,9.90,3.60,22.10,7.40,146.20
Delaware,6.70,165.20,39.40,12.60,7.50,22.00,13.30,165.60
District of Columbia,7.50,187.60,38.30,4.90,17.50,18.60,3.40,167.50
Florida,6.10,149.80,37.10,14.40,6.30,16.20,14.50,150.60
Georgia,7.50,180.20,45.30,12.70,7.30,12.70,14.00,163.00
Hawaii,4.50,135.60,38.20,13.50,2.20,11.30,6.60,135.30
Idaho,5.30,156.40,36.30,22.10,2.00,14.20,13.10,153.60
Illinois,6.60,171.50,38.40,10.30,6.90,14.10,7.80,167.60
Indiana,7.10,182.30,39.10,14.40,6.00,19.50,12.40,176.30
Iowa,4.80,160.90,33.20,13.90,2.50,10.30,10.20,164.10
Kansas,6.20,158.50,38.60,16.30,4.70,11.80,12.20,164.60
Kentucky,7.10,197.80,40.80,17.10,5.80,29.90,17.20,195.90
Louisiana,7.50,212.10,46.00,15.20,12.40,19.00,15.50,180.20
Maine,6.60,157.30,32.60,16.00,1.70,21.20,11.70,178.00
Maryland,6.50,169.30,37.80,8.80,10.30,20.90,8.50,155.00
Massachusetts,4.30,138.50,28.40,8.90,2.10,25.70,4.50,152.90
Michigan,6.50,198.90,37.60,13.80,6.40,20.40,9.70,168.00
Minnesota,5.00,116.60,33.50,13.20,2.80,10.60,7.50,153.00
Mississippi,8.20,240.50,52.60,14.00,11.30,12.30,22.60,188.40
Missouri,6.10,197.90,40.80,17.10,9.60,17.90,14.30,173.40
Montana,5.80,155.80,33.80,25.30,4.00,13.80,21.70,156.90
Nebraska,5.10,154.50,33.40,11.70,4.00,6.90,13.00,157.80
Nevada,5.50,200.90,37.00,18.40,6.70,20.40,11.20,157.20
New Hampshire,4.40,149.00,26.90,16.50,--,34.30,8.60,161.30
New Jersey,4.40,166.70,31.10,8.30,4.50,16.30,6.30,150.80
New Mexico,5.20,142.40,32.50,23.70,8.00,25.30,14.30,143.30
New York,4.60,181.60,26.00,7.80,3.40,13.60,5.70,148.40
North Carolina,7.10,162.40,44.70,13.40,6.10,15.80,13.70,164.70
North Dakota,5.10,142.40,33.40,17.50,3.10,8.60,17.30,152.90
Ohio,6.90,191.70,40.70,13.90,6.00,29.90,9.60,175.10
Oklahoma,8.20,234.00,43.00,20.30,8.50,19.00,16.40,184.30
Oregon,5.10,136.10,37.50,17.80,3.40,12.00,11.10,160.20
Pennsylvania,5.90,177.80,38.80,14.00,5.60,26.30,9.40,167.20
Rhode Island,4.40,160.40,27.10,11.20,2.80,28.20,4.30,163.10
South Carolina,6.40,177.80,46.70,14.80,9.50,15.70,20.00,166.60
South Dakota,5.70,150.90,33.20,20.40,4.20,8.40,15.50,154.00
Tennessee,6.90,207.30,46.00,15.70,7.20,22.20,14.50,180.50
Texas,5.80,171.60,42.70,12.50,5.60,9.40,12.80,149.20
Utah,4.90,152.90,38.40,22.40,2.00,23.40,9.20,125.20
Vermont,4.60,152.50,36.40,14.80,--,16.70,9.10,165.30
Virginia,5.60,154.20,38.00,12.70,4.50,12.40,9.00,159.50
Washington,4.50,137.60,34.20,15.40,3.40,14.70,7.90,156.40
West Virginia,7.00,191.30,43.80,17.40,4.50,41.50,14.50,190.40
Wisconsin,5.70,156.00,35.60,14.70,4.50,15.50,9.80,159.30
Wyoming,6.40,159.40,31.40,28.00,--,16.40,24.70,139.40

