"Winnable Battle Risk Factors and Health Indicators - Summary Report By State"

"GENERATED DATE: 8/19/2020"
"DATA SOURCE: http://wwwn.cdc.gov/SortableStats/Report_Docs/PDFDocs/Sourtable_Stats_Data_Sources.pdf"

Region/State,HIV Diagnosis Rate (2014),Hepatitis B Cases (2015),Hepatitis C Cases (2015),CLABSI-Standardized Infection Ratio (2014),Adult Obesity (2016),Youth Obesity (2015),Diagnosed Diabetes (2014),Diagnosed High Cholesterol (2013),Diagnosed Hypertension (2013),Medicated Hypertension (2013),Teen Birth Rate (2014)
National,16.50,1.10,0.80,0.50,30.10,13.90,9.10,38.40,31.40,78.10,24.20
National,16.50,1.10,0.80,0.50,30.10,13.90,9.10,38.40,31.40,78.10,24.20
Alabama,17.20,2.10,1.40,0.70,35.70,16.10,11.80,44.40,40.40,82.70,32.00
Alaska,6.80,0.40,--,0.60,31.40,14.00,7.60,38.60,29.80,61.30,27.80
Arizona,14.30,0.40,--,0.50,29.00,10.90,9.10,39.70,30.70,70.60,29.90
Arkansas,13.80,1.20,0.10,0.60,35.70,18.00,11.50,42.40,38.70,79.10,39.50
California,17.20,0.40,0.20,0.50,25.00,13.90,9.90,37.70,28.70,70.70,21.10
Colorado,9.00,0.50,0.70,0.40,22.30,--,6.90,34.80,26.30,69.20,20.30
Connecticut,10.00,0.20,--,0.40,26.00,12.30,8.00,37.80,31.30,76.00,11.50
Delaware,16.80,0.80,0.40,0.60,30.70,15.80,9.70,40.60,35.60,82.90,20.70
District of Columbia,66.90,--,--,0.60,22.60,15.10,9.10,34.00,28.40,73.60,28.40
Florida,31.30,2.10,0.60,0.50,27.40,12.30,9.40,40.30,34.60,79.40,22.50
Georgia,27.00,1.20,0.80,0.60,31.40,--,11.00,38.10,35.10,77.70,28.40
Hawaii,9.20,1.00,--,0.20,23.80,12.90,8.90,35.00,28.50,78.80,23.10
Idaho,2.00,0.50,0.20,0.30,27.40,11.10,7.00,38.40,29.40,71.90,23.20
Illinois,16.10,0.40,0.20,0.40,31.60,12.60,9.40,36.60,30.10,77.60,22.80
Indiana,9.00,2.00,2.10,0.60,32.50,13.60,9.70,39.80,33.50,79.70,28.00
Iowa,4.00,0.50,--,0.50,32.00,--,8.30,41.10,31.40,78.10,19.80
Kansas,5.80,0.70,0.80,0.60,31.20,--,9.50,38.10,31.30,78.50,27.60
Kentucky,9.90,3.70,2.70,0.60,34.20,18.50,11.30,43.20,39.10,81.30,35.30
Louisiana,36.60,1.90,0.50,0.60,35.50,--,10.40,40.70,39.90,80.80,35.80
