"Winnable Battle Risk Factors and Health Indicators - Summary Report By State"

"GENERATED DATE: 8/19/2020"
"DATA SOURCE: http://wwwn.cdc.gov/SortableStats/Report_Docs/PDFDocs/Sourtable_Stats_Data_Sources.pdf"

Region/State,Adult Smoking (2016),Youth Smoking (2015),Adult Physical Activity (2013),Youth Physical Activity (2015),Adult Nutrition (2015),Youth Nutrition (2015),Adult Binge Drinking (2016),Youth Binge Drinking (2015),Observed Seat Belt Use (2014),Youth Seat Belt Use (2015),Youth Marijuana Use (2015)
National,17.00,10.80,50.50,48.60,22.30,14.80,16.90,17.70,87.00,93.90,21.70
National,17.00,10.80,50.50,48.60,22.30,14.80,16.90,17.70,87.00,93.90,21.70
Alabama,21.50,14.00,45.40,41.30,27.80,10.20,13.00,16.10,95.70,90.90,17.30
Alaska,19.00,11.10,55.30,44.20,18.90,14.20,18.20,12.50,88.40,90.60,19.00
Arizona,14.70,10.10,51.90,46.40,20.50,14.70,15.60,19.00,87.20,90.50,23.30
Arkansas,23.60,15.70,41.20,43.30,28.10,13.40,15.00,16.30,74.40,89.60,17.80
California,11.00,7.70,56.30,48.10,18.60,15.90,16.30,15.10,97.10,96.40,22.90
Colorado,15.60,--,60.40,--,17.80,--,19.00,--,82.40,--,--
Connecticut,13.40,10.30,50.90,45.30,19.50,12.80,16.70,14.00,85.10,91.70,20.40
Delaware,17.70,9.90,49.70,43.30,20.70,--,17.00,14.80,91.90,93.70,23.30
District of Columbia,14.70,--,57.70,30.50,19.10,12.10,25.50,8.30,93.20,--,28.70
Florida,15.50,9.90,50.20,41.90,21.30,15.50,15.50,15.30,88.80,91.50,21.50
Georgia,17.90,--,50.80,--,24.70,--,13.40,--,97.30,--,--
Hawaii,13.00,9.70,60.20,38.10,21.40,--,18.60,13.40,93.50,--,19.40
Idaho,14.50,9.70,53.90,53.10,18.70,11.30,16.10,15.60,80.20,94.30,17.00
Illinois,15.80,10.10,52.40,49.60,24.30,12.70,19.90,15.90,94.10,93.70,18.70
Indiana,21.10,11.20,44.10,46.50,26.70,9.80,17.50,17.40,90.20,94.10,16.40
Iowa,16.70,--,47.00,--,26.90,--,21.20,--,92.80,--,--
Kansas,17.20,--,49.10,--,22.30,--,16.00,--,85.70,--,--
Kentucky,24.50,16.90,46.00,37.00,24.60,11.10,14.60,17.70,86.10,90.90,17.20
Louisiana,22.80,--,45.20,--,31.00,--,16.90,--,84.10,--,--
Maine,19.80,11.20,53.60,41.20,18.30,--,18.30,11.70,85.00,93.70,19.90
Maryland,13.70,8.70,48.60,36.90,21.30,13.40,15.30,13.10,92.10,--,18.80
Massachusetts,13.60,7.70,54.50,45.20,18.30,12.00,17.80,17.70,76.60,--,24.50
Michigan,20.40,10.00,53.10,46.00,24.70,9.80,19.00,12.50,93.30,93.40,19.30
Minnesota,15.20,--,52.70,--,22.40,--,21.30,--,94.70,--,--
Mississippi,22.70,15.20,37.40,34.20,31.20,12.40,12.30,15.30,78.30,88.90,19.70
Missouri,22.10,11.00,48.70,45.70,23.30,10.50,18.30,19.50,78.80,91.90,16.30
Montana,18.50,13.10,57.80,54.00,19.30,13.30,18.90,20.70,74.00,90.50,19.50
Nebraska,17.00,13.30,50.10,52.80,24.80,13.20,20.00,14.30,79.00,88.70,13.70
Nevada,16.50,7.50,53.60,50.60,19.20,13.80,15.80,15.80,94.00,93.80,19.30
New Hampshire,18.00,9.30,55.40,46.90,17.30,--,18.00,16.80,70.40,91.80,22.20
New Jersey,14.00,--,50.50,--,22.10,--,16.00,--,87.60,--,--
New Mexico,16.60,11.40,55.00,52.20,21.50,16.40,15.00,14.60,92.10,94.00,25.30
New York,14.20,8.80,47.30,41.80,22.40,--,17.50,15.60,90.60,--,19.30
North Carolina,17.90,13.10,48.60,43.40,21.60,12.50,14.60,13.90,90.60,93.50,22.30
North Dakota,19.80,11.70,45.30,51.30,27.50,11.10,24.80,17.60,81.00,91.50,15.20
Ohio,22.50,--,49.50,--,24.80,--,17.90,--,85.00,--,--
Oklahoma,19.60,13.10,43.90,54.00,24.50,12.10,11.80,16.50,86.30,94.30,17.50
Oregon,16.20,--,64.10,--,16.50,--,16.30,--,97.80,--,--
Pennsylvania,18.00,12.90,47.80,45.60,24.20,10.70,19.40,15.40,83.60,89.10,18.20
Rhode Island,14.40,4.80,49.10,43.70,23.50,12.00,15.80,12.80,87.40,94.10,23.60
South Carolina,20.00,9.60,49.10,42.30,25.40,9.10,16.80,11.50,90.00,94.70,17.80
South Dakota,18.10,10.10,53.70,47.40,26.10,11.90,19.30,14.30,68.90,85.40,12.40
Tennessee,22.10,11.50,37.70,42.70,22.60,9.70,13.10,--,87.70,92.70,--
Texas,14.30,--,42.10,--,19.60,--,17.90,--,90.70,--,--
Utah,8.80,--,55.30,--,20.00,--,12.50,--,83.40,--,--
Vermont,17.00,10.80,58.80,45.80,17.60,18.10,18.40,16.00,84.10,--,22.40
Virginia,15.30,8.20,51.90,45.20,21.80,13.80,15.80,11.00,77.30,93.70,16.20
Washington,14.00,--,56.30,--,16.90,--,16.40,--,94.50,--,--
West Virginia,24.80,18.80,47.60,44.90,26.50,12.90,11.30,19.80,87.80,88.80,16.50
Wisconsin,17.10,--,53.40,--,24.00,--,24.60,--,84.70,--,--
Wyoming,19.00,15.70,54.20,50.70,21.50,13.90,18.40,19.70,79.20,89.30,18.30

