"Winnable Battle Risk Factors and Health Indicators - Summary Report By State"

"GENERATED DATE: 8/19/2020"
"DATA SOURCE: http://wwwn.cdc.gov/SortableStats/Report_Docs/PDFDocs/Sourtable_Stats_Data_Sources.pdf"

Region/State,Colorectal Cancer Screening (2014),Influenza Vaccination Coverage (2016),Child Vaccination Coverage (2015)
National,68.80,46.80,72.20
National,68.80,46.80,72.20
Alabama,67.60,43.90,70.60
Alaska,64.30,39.10,66.30
Arizona,68.10,41.80,72.30
Arkansas,64.60,46.20,66.60
California,66.60,48.00,75.00
Colorado,69.30,49.90,75.40
Connecticut,76.10,52.70,80.60
Delaware,76.60,51.20,79.30
District of Columbia,70.30,48.30,76.30
Florida,69.90,43.30,66.60
Georgia,69.80,42.80,75.60
Hawaii,65.70,49.20,73.80
Idaho,66.40,39.50,71.60
Illinois,65.10,41.80,70.80
Indiana,65.00,43.60,74.70
Iowa,71.10,51.30,77.90
Kansas,67.80,43.90,75.20
Kentucky,69.60,45.00,73.00
Louisiana,66.40,41.60,70.80
Maine,78.10,49.90,71.80
Maryland,73.00,53.50,76.80
Massachusetts,77.90,50.30,78.50
Michigan,74.60,44.20,67.60
Minnesota,74.40,51.70,73.20
Mississippi,62.90,40.10,70.60
Missouri,66.70,46.40,71.00
Montana,66.80,42.20,68.10
Nebraska,67.60,52.30,73.80
Nevada,63.00,36.10,71.30
New Hampshire,77.80,50.40,74.10
New Jersey,67.70,49.10,76.50
New Mexico,63.00,49.20,70.10
New York,70.70,49.80,71.90
North Carolina,73.20,50.80,76.40
North Dakota,65.30,46.90,80.20
Ohio,67.60,46.60,68.30
Oklahoma,62.30,47.20,75.40
Oregon,70.60,40.00,67.40
Pennsylvania,69.60,53.30,72.80
Rhode Island,77.80,55.40,77.20
South Carolina,71.30,47.40,68.20
South Dakota,69.70,53.90,75.60
Tennessee,68.80,43.90,70.10
Texas,63.50,43.50,71.20
Utah,74.20,43.40,68.10
Vermont,75.30,47.30,75.60
Virginia,72.00,50.50,64.40
Washington,71.80,48.30,77.10
West Virginia,66.00,49.60,64.90
Wisconsin,75.90,43.70,68.80
Wyoming,61.80,38.90,73.30

